word,base_word,phonetic,pos,meaning,level,collocation,etymology,example_en,example_zh
the,the,/ðә/,art.,art. 那,A1,,,,
be,be,/bi:/,v.,"v. 是, 表示, 在",A1,,,,
and,and,/ænd/,conj.,"conj. 和, 与",A1,,,,
of,of,/ɒv/,prep.,"prep. 的, 属于",A1,,,,
a,a,/ei/,,第一个字母 A; 一个; 第一的,A1,,,,
in,in,/in/,n./adv./prep.,"prep. 在...期间, 在...之内, 处于...之中, 从事于, 按照, 穿着；adv. 进入, 朝里, 在里面, 在屋里；a. 在里面的, 在朝的；n. 执政者, 交情",A1,,,,
to,to,/tu:/,adv./prep.,"prep. 到, 向, 趋于；adv. 向前",A1,,,,
have,have,/hæv/,vt.,"vt. 有, 怀有, 拿, 进行；aux. 已经",A1,,,,
it,it,/it/,pron.,pron. 它,A1,,,,
i,i,/ai/,pron.,pron. 我,A1,,,,
that,that,/ðæt/,adv./conj./pron.,"a. 那, 那个；conj. 以致, 因为；pron. 那；adv. 那么, 那样",A1,,,,
for,for,/fɒ:/,prep./conj.,"prep. 为, 因为, 至于；conj. 因为",A1,,,,
you,you,/ju:/,pron.,"pron. 你, 你们",A1,,,,
he,he,/hi:/,n./pron.,"pron. 他；n. 男孩, 男人, 雄性动物",A1,,,,
with,with,/wið/,prep.,"prep. 和...在一起, 以, 由于",A1,,,,
on,on,/ɒn/,adv./prep.,prep. 在...之上；adv. ...上去；a. 正起作用的,A1,,,,
do,do,/du:/,v.,"v. 做, 进行, 完成",A1,,,,
say,say,/sei/,vt./vi./n.,"vt. 说, 讲, 念, 说明, 指明；vi. 说, 讲；n. 意见, 发言权",A1,,,,
this,this,/θis/,adv./pron.,"pron. 这, 本；a. 这, 本；adv. 这么",A1,,,,
they,they,/ðei/,pron.,"pron. 他们, 它们",A1,,,,
at,at,/æt/,prep.,"prep. 在, 向, 对",A1,,,,
but,but,/bʌt/,adv./prep./conj.,prep. 除了；conj. 但是；adv. 仅仅,A1,,,,
we,we,/wi:/,pron.,pron. 我们,A1,,,,
his,his,/hiz/,pron.,pron. 他的,A1,,,,
from,from,/frɒm/,prep.,"prep. 从, 来自, 根据",A1,,,,
not,not,/nɒt/,adv.,"adv. 不, 非, 未",A1,,,,
n't,n't,/nt/,adv.,adv. 不,Beyond C1,,,,
by,by,/bai/,adv./prep.,"prep. 被, 经, 由, 在...之旁；adv. 经过, 在近处",A1,,,,
she,she,/ʃi:/,pron.,pron. 她,A1,,,,
or,or,/ɒ:/,conj.,"conj. 或, 或者",A1,,,,
as,as,/æz/,adv./prep./conj.,"adv. 同样地, 例如；prep. 做为, 当作；conj. 当...之时, 以...的方式, 像...一样, 因为",A1,,,,
what,what,/hwɒt/,adv./pron.,"pron. 什么；interj. 怎么, 多么；a. 什么的；adv. 到什么程度",A1,,,,
go,go,/gou/,vt./vi./n.,"vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下；vt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)；n. 去, 尝试, 进行",A1,,,,
their,their,/ðєә/,pron.,pron. 他们的,A1,,,,
can,can,/kæn/,vt./n.,"vt. 装罐；n. 罐头, 容器；aux. 能, 可以",A1,,,,
who,who,/hu:/,pron.,pron. 谁,A1,,,,
get,get,/get/,vt./vi./n.,"vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上；vi. 到达, 成为, 变得；n. (网球等)救球, 生殖, 幼兽",A1,,,,
if,if,/if/,n./conj.,"conj. 如果, 是否, 无论何时, 假设, 即使；n. 条件",A1,,,,
would,would,/wud/,,"aux. 将, 愿意",A1,,,,
her,her,/hә:/,pron.,"pron. 她的, 她",A1,,,,
all,all,/ɒ:l/,n./adv./pron.,"a. 所有的, 全部的, 一切的；adv. 全部, 全然；pron. 全部；n. 全部",A1,,,,
my,my,/mai/,pron.,pron. 我的,A1,,,,
make,make,/meik/,vt./vi./n.,"vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行；vi. 开始, 前进, 增大, 被制造, 被处理；n. 制造, 构造, 性情",A1,,,,
about,about,/ә'baut/,adv./prep.,"prep. 在...周围, 大约, 有关, 关于；adv. 大约, 四处, 在附近, 周围",A1,,,,
know,know,/nәu/,v.,"v. 知道, 了解, 认识, 确信",A1,,,,
will,will,/wil/,vt./vi./n.,"n. 意志, 决心, 意愿, 意向, 干劲, 遗嘱；vt. 用意志的力量驱使, 决意, 愿意, 立遗嘱；vi. 下决心, 愿意；aux. 将, 愿意, 必须",A1,,,,
up,up,/ʌp/,adv./prep.,"a. 向上的, 起床的, 涨的；adv. 向上, 上涨；prep. 在...上面, 向...的较高处",A1,,,,
one,one,/wʌn/,n./pron./num.,"n. 一(个)；pron. 一, 任何人；num. 一, 一个；a. 一致的, 完整的",A1,,,,
time,time,/taim/,vt./n.,"n. 时间, 时侯, 时机, 时期, 期限, 次数, 节拍, 暂停, 规定时间；vt. 测定...的时间, 记录...的时间, 计时, 定时；a. 时间的, 记时的, 定时的, 定期的, 分期的",A1,,,,
there,there,/ðєә/,adv.,adv. 在那里,A1,,,,
year,year,/jiә/,n.,"n. 年, 年度, 年龄",A1,,,,
so,so,/sәu/,adv./conj./pron.,"adv. 如此, 如是, 如...那样；conj. 所以, 因此；pron. 这样",A1,,,,
think,think,/θiŋk/,vt./vi./n.,"vt. 想, 考虑, 想起, 想像, 打算, 认为；vi. 思考, 料想；n. 想法；a. 思想的",A1,,,,
when,when,/hwen/,n./adv./conj./pron.,"conj. 当...的时候；adv. 何时, 什么时候；pron. 什么时侯；n. 时间",A1,,,,
which,which,/hwitʃ/,pron.,"pron. 哪一个, 那一个",A1,,,,
them,them,/ðem/,pron.,"pron. 他们, 她们, 它们",A1,,,,
some,some,/sʌm/,adv./pron.,"pron. 一些, 一部分, 若干；adv. 大约；a. 一些的, 少许的, 某一的",A1,,,,
me,me,/mi:/,pron.,pron. 我,A1,,,,
people,people,/'pi:pl/,vt./n.,"n. 人, 人民, 民族, 平民；vt. 使住满人, 居住于",A1,,,,
take,take,/teik/,vt./vi./n.,"vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费；vi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产；n. 拿, 取, 收成, 奏效",A1,,,,
